Frecuencia,0,10,20,30,40,50,60,70,80,90,-90,-80,-70,-60,-50,-40,-30,-20,-10
152.903,0,-0.585727,-0.585136,-0.736408,-0.89138,-0.865345,-1.147602,-1.472919,-1.713207,-1.749763,-1.749763,-1.713207,-1.472919,-1.147602,-0.865345,-0.89138,-0.736408,-0.585136,-0.585727
154.806,0,-0.525322,-0.576572,-0.716343,-0.879822,-0.834026,-1.125069,-1.428413,-1.652069,-1.647816,-1.647816,-1.652069,-1.428413,-1.125069,-0.834026,-0.879822,-0.716343,-0.576572,-0.525322
156.734,0,-0.482914,-0.590908,-0.718216,-0.890476,-0.837891,-1.13398,-1.415505,-1.622925,-1.598618,-1.598618,-1.622925,-1.415505,-1.13398,-0.837891,-0.890476,-0.718216,-0.590908,-0.482914
158.685,0,-0.451271,-0.613117,-0.735779,-0.921982,-0.87326,-1.171245,-1.439979,-1.63829,-1.601249,-1.601249,-1.63829,-1.439979,-1.171245,-0.87326,-0.921982,-0.735779,-0.613117,-0.451271
160.66,0,-0.415058,-0.615551,-0.749206,-0.946464,-0.90823,-1.211979,-1.465092,-1.669056,-1.626625,-1.626625,-1.669056,-1.465092,-1.211979,-0.90823,-0.946464,-0.749206,-0.615551,-0.415058
162.66,0,-0.37112,-0.597408,-0.744514,-0.950222,-0.921631,-1.228474,-1.46529,-1.681087,-1.62566,-1.62566,-1.681087,-1.46529,-1.228474,-0.921631,-0.950222,-0.744514,-0.597408,-0.37112
164.685,0,-0.34792,-0.599213,-0.757408,-0.976544,-0.952461,-1.261959,-1.480274,-1.71344,-1.642159,-1.642159,-1.71344,-1.480274,-1.261959,-0.952461,-0.976544,-0.757408,-0.599213,-0.34792
166.735,0,-0.347557,-0.626896,-0.794411,-1.031319,-1.013973,-1.328926,-1.528824,-1.786133,-1.69276,-1.69276,-1.786133,-1.528824,-1.328926,-1.013973,-1.031319,-0.794411,-0.626896,-0.347557
168.811,0,-0.356712,-0.650493,-0.841209,-1.115829,-1.114296,-1.4505,-1.630394,-1.924843,-1.815693,-1.815693,-1.924843,-1.630394,-1.4505,-1.114296,-1.115829,-0.841209,-0.650493,-0.356712
170.912,0,-0.37571,-0.676567,-0.898888,-1.225708,-1.249169,-1.62677,-1.78648,-2.126942,-1.997269,-1.997269,-2.126942,-1.78648,-1.62677,-1.249169,-1.225708,-0.898888,-0.676567,-0.37571
